X:

9,10,25,18,19,40,34,39,36,35,22,19,
29,23,54,89,89,19,34,90,23,22,87,11,
12,43,33,12,43,19,32,21,40,98,21,32,
32,54,12,43,90,22,89,12,45,90,12,45,
22,53,31,18,49,29,72,21,80,78,21,32,
34,23,78,21,43,10,39,45,12,98,12,90,
83,48,10,45,2,45,10,19,33,987,12,10,
34,23,78,21,43,10,39,45,12,98,12,90,
83,48,10,45,2,45,10,19,33,987,12,10,
34,23,78,21,43,10,39,45,12,98,12,90,
83,48,10,45,2,45,10,19,33,987,12,10,
34,23,78,21,43,10,39,45,12,98,12,90,
83,48,10,45,2,45,10,19,33,987,12,10,
34,23,78,21,43,10,39,45,12,98,12,90,
83,48,10,45,2,45,10,19,33,987,12,10,
34,23,78,21,43,10,39,45,12,98,12,90,
83,48,10,45,2,45,10,19,33,987,12,10,

